app_name,app_id,review_id,rating,date,review_text,drop_off_stage,friction_type,emotion,gave_up,trust_signal,effort_complained,language,literacy_hint,device_hint,income_hint,region_hint,key_quote,confidence,api_used
PhonePe,com.phonepe.app,e2d82356-c2eb-4cf8-90d1-c98f06e01598,5,2026-04-29,👍,unknown,,unknown,,unknown,,unknown,unknown,unknown,unknown,unknown,,unknown,groq
PhonePe,com.phonepe.app,82595eb9-05b3-4a6b-a184-8f07cb1041c5,3,2026-04-29,🥰❤️❤️❤️❤️,unknown,,unknown,,trusted,,unknown,unknown,unknown,unknown,unknown,,high,groq
PhonePe,com.phonepe.app,91a32675-501e-460e-8036-15f67f23ef65,5,2026-04-29,bad 😞😞😞😞😞😞 isase achcha to Navi upi hai,unknown,confusing_language,disappointed,True,lost_trust,True,hindi,unknown,unknown,unknown,unknown,isase achcha to Navi upi hai,low,groq
PhonePe,com.phonepe.app,e4176656-02b3-478d-8586-a46302ca4801,5,2026-04-29,very fast paymat,payment,,neutral,,trusted,,english,unknown,unknown,unknown,unknown,very fast paymat,high,groq
PhonePe,com.phonepe.app,2385fe82-cfd5-43f1-b6af-913c31928eef,5,2026-04-29,nice,unknown,,neutral,,trusted,,english,unknown,unknown,unknown,unknown,,high,groq
PhonePe,com.phonepe.app,8ed93785-6d50-4768-8ed3-c74faaf74194,5,2026-04-29,good one,unknown,,unknown,,trusted,,english,unknown,unknown,unknown,unknown,good one,high,groq
PhonePe,com.phonepe.app,a71866c7-9036-484c-bb7f-c9009e3cde20,1,2026-04-29,very bad app 😑 my refer reward not received so bad,support,trust_issue,angry,True,lost_trust,True,english,unknown,unknown,unknown,unknown,my refer reward not received,low,groq
PhonePe,com.phonepe.app,3a00d4af-5b99-4ce0-bf7e-ef073738451e,5,2026-04-29,nice,unknown,,neutral,,trusted,,english,unknown,unknown,unknown,unknown,,high,groq
PhonePe,com.phonepe.app,e2f7d982-3a27-42f3-b9f0-1ce4e2dc4397,4,2026-04-29,nice,unknown,,neutral,,trusted,,english,unknown,unknown,unknown,unknown,,high,groq
PhonePe,com.phonepe.app,49f7ba81-8421-4ced-96f0-07f9db9f6bc4,5,2026-04-29,nice,unknown,,neutral,,trusted,,english,unknown,unknown,unknown,unknown,,high,groq
PhonePe,com.phonepe.app,242007e2-590d-470d-931f-6b8f28408a63,5,2026-04-29,bahut badhiya,unknown,,unknown,,trusted,,hindi,unknown,unknown,unknown,unknown,bahut badhiya,high,groq
PhonePe,com.phonepe.app,88c61119-642a-4659-8220-bb897fa4182d,5,2026-04-29,😊,unknown,,unknown,,unknown,,unknown,unknown,unknown,unknown,unknown,,unknown,groq
PhonePe,com.phonepe.app,b0e1bc7e-f9ce-40e9-9a14-a1a8bb3bde6a,5,2026-04-29,",, maixc chalu nahie ho rha hai",unknown,confusing_language,frustrated,True,none,True,hinglish,unknown,unknown,unknown,unknown,maixc chalu nahie ho rha hai,low,groq
PhonePe,com.phonepe.app,da4a4f2e-4de4-43d1-b140-32c6d9149520,4,2026-04-29,very good,unknown,,neutral,,trusted,,english,unknown,unknown,unknown,unknown,very good,high,groq
PhonePe,com.phonepe.app,91e3c690-1d9d-4ed4-a9d2-8ab80968e9c4,1,2026-04-29,poor customer support... now recently they added a very annoying and unnecessary feature called phonepe protect.. I'm done with this app..,support,poor_support,angry,True,lost_trust,True,english,unknown,unknown,unknown,unknown,poor customer support,low,groq
PhonePe,com.phonepe.app,3d51b4e1-226f-4228-b81e-a5295fbd3e74,5,2026-04-29,nice 👍,unknown,,unknown,,trusted,,unknown,unknown,unknown,unknown,unknown,,high,groq
PhonePe,com.phonepe.app,4d88d19c-bcf4-428a-b54d-5d2db3e16a55,5,2026-04-29,good,unknown,,neutral,,trusted,,english,unknown,unknown,unknown,unknown,good,high,groq
PhonePe,com.phonepe.app,b4f6ea14-3bd5-4859-91bb-6616149371df,5,2026-04-29,यंग,unknown,,unknown,,unknown,,hindi,unknown,unknown,unknown,unknown,,unknown,groq
PhonePe,com.phonepe.app,ceb07403-e16f-4025-b5e8-fbea7a33ad1a,4,2026-04-29,just wow,unknown,,unknown,,trusted,,unknown,unknown,unknown,unknown,unknown,,high,groq
PhonePe,com.phonepe.app,5b49e371-b6d3-4bab-9155-f3e3020c72c4,4,2026-04-29,nice,unknown,,neutral,,trusted,,english,unknown,unknown,unknown,unknown,,high,groq
PhonePe,com.phonepe.app,6d0c8a58-0260-491d-9f9d-2df90a7dcb8e,1,2026-04-29,"this is the worst payment app I have seen because it's customer service bad 😞😔 help service also bad, irresponsible, nonchalant, and not shows feedback in every issues related to refund, fraud and something. worst payment app!",support,poor_support,angry,True,lost_trust,True,english,unknown,unknown,unknown,unknown,customer service bad,low,groq
PhonePe,com.phonepe.app,d5632e29-f5fe-41d8-84bd-8a1438124bdf,1,2026-04-29,very unprofessional app ..so much problem.. giving so much problem to user..,unknown,confusing_language|technical_error,frustrated,,lost_trust,,english,unknown,unknown,unknown,unknown,very unprofessional app ..so much problem,low,groq
PhonePe,com.phonepe.app,01577f8e-4b9a-445c-8f4b-84efb0b8664b,4,2026-04-29,it is good to use and easy to use but little complicated for old people,onboarding,confusing_language,neutral,,trusted,,english,medium,unknown,unknown,unknown,little complicated for old people,medium,groq
PhonePe,com.phonepe.app,69bf11cb-1a3b-448f-a43e-5a4d8aa7418d,5,2026-04-29,supar,unknown,,unknown,,unknown,,unknown,unknown,unknown,unknown,unknown,,unknown,groq
PhonePe,com.phonepe.app,62c2ee1b-3227-4a33-a701-5afcf0e856e3,4,2026-04-29,Easy to use and best online payment app...,unknown,,neutral,,trusted,,english,unknown,unknown,unknown,unknown,Easy to use and best online payment app,high,groq
PhonePe,com.phonepe.app,c0300010-40dd-4470-9136-909686beae53,4,2026-04-29,super work,unknown,,unknown,,trusted,,unknown,unknown,unknown,unknown,unknown,super work,high,groq
PhonePe,com.phonepe.app,22fa2a54-9268-4133-acb5-43dc192250a8,5,2026-04-29,good,unknown,,neutral,,trusted,,english,unknown,unknown,unknown,unknown,good,high,groq
PhonePe,com.phonepe.app,f3278f0e-ea92-4cfa-87a1-2d944327c4b8,3,2026-04-29,"PhonePe team you should also add money request feature in PhonePe like Google Pay, only for money request I have to go to Google Pay, add money request option",feature_use,too_many_steps,frustrated,False,trusted,True,english,medium,high-end-android,middle,metro,only for money request I have to go to Google Pay,medium,groq
PhonePe,com.phonepe.app,f3a34e7c-69a7-4d4e-a267-be2a405534c2,1,2026-04-29,very bad experience with Phone pay.not satisfied with their service.,unknown,trust_issue,disappointed,True,lost_trust,,english,unknown,unknown,unknown,unknown,very bad experience with Phone pay,low,groq
PhonePe,com.phonepe.app,4f657177-f8fc-4d84-bc12-9f05d21d723f,5,2026-04-29,good,unknown,,neutral,,trusted,,english,unknown,unknown,unknown,unknown,good,high,groq
PhonePe,com.phonepe.app,88408e85-3843-4238-a623-1f40294a9e46,4,2026-04-29,nice,unknown,,neutral,,trusted,,english,unknown,unknown,unknown,unknown,,high,groq
